id,Title,Type,Date,Source,link
108,Statement by Cuba at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Cuba,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Cuba.pdf
109,Statement by the Canadian Center for the Responsibility to Protect at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Canadian Centre for the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-CCR2P.pdf
110,Statement by the Auschwitz Institute for Peace and Reconciliation at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Auschwitz Institute for Peace and Reconciliation,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-AIPR.pdf
111,Statement by Costa Rica at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Costa Rica,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Costa-Rica-Sp.pdf
112,Statement by the Asia-Pacific Centre for the Responsibility to Protect at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Official Statement,2017-09-06 00:00:00,Asia-Pacific Center for the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-APR2P.pdf
113,Statement by Morocco at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Morocco,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Morocco-En.pdf
114,Statement by Thailand at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Thailand,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Thailand.pdf
115,Statement by Montenegro at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Montenegro,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Montenegro.pdf
116,Statement by Syria at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Syria,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Syria.pdf
117,Statement by Switzerland at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Switzerland,https://www.globalr2p.org/wp-content/uploads/2017/09/2017-IID-Switzerland.pdf
118,Statement by Sudan at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2017-09-06 00:00:00,Sudan,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Sudan.pdf
119,"Statement by the UN Special Adviser on the Prevention of Genocide on the situation in Raqqah, Syrian Arab Republic, August 2017",Official Statement,2017-08-30 00:00:00,Office of the UN Special Advisers on Genocide Prevention and the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/06/2017-Aug-SAStatement-Syria.pdf
120,"Statement by the UN Special Adviser on the Prevention of Genocide on his visit to the Democratic Republic of the Congo, June 2017",Official Statement,2017-06-24 00:00:00,Office of the UN Special Advisers on Genocide Prevention and the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2017/06/2017-Jun-SAStatement-DRC.pdf
121,Statement delivered on behalf of the Group of Friends of R2P at the 34th session of the Human Rights Council,Official Statement,2017-03-09 00:00:00,UN Group of Friends of the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-HRC34-GOF-Item2.pdf
122,"Statement by the UN Special Adviser on the Prevention of Genocide on the situation in South Sudan, February 2017",Official Statement,2017-02-06 00:00:00,Office of the UN Special Advisers on Genocide Prevention and the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2017/02/2017-Feb-SAStatement-South-Sudan.pdf
123,"Statement by the UN Special Adviser on the Prevention of Genocide following the OHCHR report on the situation in northern Rakhine State, Myanmar, February 2017",Official Statement,2017-02-06 00:00:00,Office of the UN Special Advisers on Genocide Prevention and the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2017/02/2017-Feb-SAStatement-Myanmar.pdf
124,"Statement by the UN Special Advisers on the Prevention of Genocide and the Responsibility to Protect on the situation in Eastern Ghouta and Idlib, Syrian Arab Republic, January 2018",Official Statement,2017-01-18 00:00:00,Office of the UN Special Advisers on Genocide Prevention and the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/06/2018-Jan-SAStatement-Syria.pdf
125,Statement delivered on behalf of the co-chairs of the Group of Friends of R2P at the 26th Special Session of the Human Rights Council,Official Statement,2016-12-14 00:00:00,UN Group of Friends of the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-HRCSS26-GOF-South-Sudan.pdf
126,Statement by UN Deputy Secretary-General Jan Eliasson on the situation in the Democratic People's Republic of Korea,Official Statement,2016-12-09 00:00:00,UN Deputy Secretary-General,https://www.globalr2p.org/wp-content/uploads/2016/12/2016-Dec-DSGStatement-DPRK.pdf
127,"Statement by the UN Special Advisers on the Prevention of Genocide and the Responsibility to Protect on the situation in Aleppo, Syrian Arab Republic, December 2016",Official Statement,2016-12-02 00:00:00,Office of the UN Special Advisers on Genocide Prevention and the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2016/12/2016-Dec-SAStatement-Syria.pdf
128,"Statement by the UN Special Adviser on the Prevention of Genocide on the situation in the Central African Republic, November 2016",Official Statement,2016-11-25 00:00:00,Office of the UN Special Advisers on Genocide Prevention and the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2016/11/2016-Nov-SAStatemenr-CAR.pdf
129,"Statement by the UN Special Adviser on the Prevention of Genocide on the situation in northern Rakhine State, Myanmar, November 2016",Official Statement,2016-11-25 00:00:00,Office of the UN Special Advisers on Genocide Prevention and the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2016/11/2016-Nov-SAStatement-Myanmar.pdf
130,"Statement by the UN Special Adviser on the Prevention of Genocide to the UN Security Council on his visit to South Sudan, November 2016",Official Statement,2016-11-17 00:00:00,Office of the UN Special Advisers on Genocide Prevention and the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/06/2016-Nov-SAStatement-to-UNSC-South-Sudan.pdf
131,Media Briefing by the UN Special Adviser on the Prevention of Genocide on the situation in South Sudan,Official Statement,2016-11-11 00:00:00,Office of the UN Special Advisers on the Prevention of Genocide and the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2016/11/2016-Nov-SAStatement-South-Sudan.pdf
132,"Statement by the UN Special Adviser on the Prevention of Genocide on the situation in and around Mosul, Iraq, November 2016",Official Statement,2016-11-01 00:00:00,Office of the UN Special Advisers on Genocide Prevention and the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2016/11/2016-Nov-SAStatement-Iraq.pdf
133,"UN Special Adviser on the Prevention of Genocide expresses alarm at public comments by Philippines President Rodrigo Duterte, September 2016",Official Statement,2016-09-30 00:00:00,Office of the UN Special Advisers on Genocide Prevention and the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/06/2016-Sep-SAStatement-Philippines.pdf
134,Statement delivered on behalf of the Group of Friends of R2P at the 33rd session of the Human Rights Council,Official Statement,2016-09-26 00:00:00,UN Group of Friends of the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-HRC33-GOF-Item10-.pdf
135,Statement by Croatia at the 2017 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-07 00:00:00,Croatia,https://www.globalr2p.org/wp-content/uploads/2019/08/2017-IID-Croatia.pdf
136,Statement by the Republic of Korea at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Republic of Korea,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-ROK.pdf
137,"Statement by the President of the General Assembly, H.E. Mr. Mogens Lykketoft, at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect",Official Statement,2016-09-06 00:00:00,President of the UN General Assembly,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-PGA.pdf
138,Statement by the Philippines at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Philippines,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-Philippines.pdf
139,Statement by the Netherlands on behalf of the Group of Friends of R2P at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,UN Group of Friends of the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-GOF.pdf
140,Statement by the Netherlands at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Netherlands,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-Netherlands.pdf
141,Statement by the European Union at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,EU,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-EU.pdf
142,Statement by the Democratic People's Republic of Korea at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Democratic People's Republic of Korea,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-DPRK.pdf
143,Statement by the Canadian Centre for R2P at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Canadian Centre for the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-CCR2P.pdf
144,Statement by the Asia-Pacific Centre for R2P at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Asia-Pacific Center for the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2016/09/2016-IID-APR2P.pdf
145,Statement by Thailand at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Thailand,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-Thailand.pdf
146,Statement by Tanzania at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Tanzania,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-Tanzania.pdf
147,Statement by Syria at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Syria,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-Syria-En.pdf
148,Statement by Switzerland at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Switzerland,
149,Statement by Sudan at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Sudan,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-Sudan-En.pdf
150,Statement by Spain at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Spain,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-Spain.pdf
151,Statement by South Africa at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,South Africa,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-South-Africa.pdf
152,Statement by Slovenia at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Slovenia,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-Slovenia.pdf
153,Statement by Slovakia at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Slovakia,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-Slovakia.pdf
154,Statement by Singapore at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Singapore,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-Singapore.pdf
155,Statement by Sierra Leone at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Sierra Leone,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-Sierra-Leone.pdf
156,Statement by Rwanda at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Rwanda,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-Rwanda.pdf
157,Statement by Qatar at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Qatar,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-Qatar-En.pdf
158,Statement by Poland at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Poland,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-Poland.pdf
159,Statement by Peru at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Peru,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-Peru-En.pdf
160,Statement by Panama at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Panama,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-Panama.pdf
161,Statement by Nigeria at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Nigeria,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-Nigeria.pdf
162,Statement by Nicaragua at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Nicaragua,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-Nicaragua-En.pdf
163,Statement by New Zealand at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,New Zealand,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-New-Zealand.pdf
164,Statement by Morocco at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Morocco,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-Morocco-En.pdf
165,Statement by Mexico at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Mexico,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-Mexico-En.pdf
166,Statement by Luxembourg at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Luxembourg,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-Luxembourg-En.pdf
167,Statement by Liechtenstein at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Liechtenstein,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-Liechtenstein.pdf
168,Statement by Libya at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Libya,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-Libya-En.pdf
169,Statement by Liberia at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Liberia,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-Liberia.pdf
170,Statement by Latvia at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Latvia (on behalf of Estonia and Lithuania),
171,Statement by Kazakhstan at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Kazakhstan,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-Kazakhstan.pdf
172,Statement by Japan at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Japan,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-Japan.pdf
173,Statement by Jamaica at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Jamaica,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-Jamaica.pdf
174,Statement by Italy at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Italy,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-Italy.pdf
175,Statement by Iraq at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Iraq,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-Iraq-En.pdf
176,Statement by Iran at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Iran,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-Iran.pdf
177,Statement by Egypt at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Egypt,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-Egypt.pdf
178,Statement by Ecuador at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Ecuador,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-Ecuador-En.pdf
179,Statement by Deputy Secretary-General Jan Eliasson at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Official Statement,2016-09-06 00:00:00,UN Deputy Secretary-General,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-DSG.pdf
180,Statement by Denmark at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Denmark,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-Denmark.pdf
181,Statement by Cuba at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Cuba,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-Cuba-En.pdf
182,Statement by Croatia at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Croatia,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-Croatia.pdf
183,Statement by Costa Rica at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Costa Rica,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-Costa-Rica-En.pdf
184,Statement by Chile at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Chile,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-Chile-En.pdf
185,Statement by Canada at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Global Centre for the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-Canada-En.pdf
186,Statement by Brazil at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Brazil,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-Brazil.pdf
187,Statement by Botswana at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Botswana,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-Botswana.pdf
188,Statement by Bolivia at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Bolivia,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-Bolivia.pdf
189,Statement by Benin at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Benin,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-Benin-En.pdf
190,Statement by Belgium at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Belgium,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-Belgium-En.pdf
191,Statement by Bangladesh at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Bangladesh,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-Bangladesh.pdf
192,Statement by Azerbaijan at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Azerbaijan,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-Azerbaijan.pdf
193,Statement by Australia at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Australia,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-Australia.pdf
194,Statement by ICRtoP at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Official Statement,2016-09-06 00:00:00,International Coalition for the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-ICRtoP.pdf
195,Statement by Hungary at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Hungary,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-Hungary.pdf
196,Statement by Ghana at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Ghana,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-Ghana.pdf
197,Statement by Germany at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Germany,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-Germany.pdf
198,Statement by Georgia at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Georgia,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-Georgia.pdf
199,Statement by France at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,France,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-France.pdf
200,"Statement by Former Special Adviser on R2P, Dr. Jennifer Welsh, at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect",Official Statement,2016-09-06 00:00:00,Former Special Adviser on R2P Dr. Jennifer Welsh,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-Jennifer-Welsh.pdf
201,"Statement by Former Special Adviser on R2P, Dr. Edward Luck, at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect",Official Statement,2016-09-06 00:00:00,Former Special Adviser on R2P Dr. Edward Luck,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-Edward-Luck.pdf
202,Statement by Finland at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Finland,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-Finland.pdf
203,Statement by Fiji at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Fiji,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-Fiji.pdf
204,Statement by Armenia at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Armenia,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-Armenia.pdf
205,Statement by Argentina at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Argentina,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-Argentina-En.pdf
206,Statement by the UN Special Adviser on the Prevention of Genocide at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Official Statement,2016-09-06 00:00:00,Office of the UN Special Advisers on Genocide Prevention and the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2016/09/2016-IID-SAStatement.pdf
207,Statement by Venezuela at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Venezuela,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-Venezuela.pdf
208,Statement by Vanuatu at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Vanuatu,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-Vanuatu.pdf
209,Statement by Uruguay at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Uruguay,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-Uruguay.pdf
210,Statement by Turkey at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Turkey,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-Turkey.pdf
211,Statement by the United States at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,United States,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-US.pdf
212,Statement by the United Kingdom at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,United Kingdom,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-UK.pdf
213,Statement by the Russian Federation at the 2016 UN General Assembly informal interactive dialogue on the Responsibility to Protect,Government Statement,2016-09-06 00:00:00,Russia,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-IID-Russia.pdf
214,"Statement by the UN Special Adviser on the Prevention of Genocide on the situation in Burundi, August 2016",Official Statement,2016-08-24 00:00:00,Office of the UN Special Advisers on Genocide Prevention and the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2016/08/2016-Aug-SAStatement-Burundi.pdf
215,"Statement by the UN Special Adviser on the Prevention of Genocide on the situation in South Sudan, July 2016",Official Statement,2016-07-11 00:00:00,Office of the UN Special Advisers on Genocide Prevention and the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2016/07/2016-Jul-SAStatement-South-Sudan.pdf
216,"Statement by the UN Special Adviser on the Prevention of Genocide on the situation in the Kingdom of Bahrain, June 2016",Official Statement,2016-06-22 00:00:00,Office of the UN Special Advisers on Genocide Prevention and the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/06/2016-Jun-SAStatement-Bahrain.pdf
217,"Statement by the UN Special Adviser on the Prevention of Genocide in response to the escalation of islamophobia and homophobia following the events in Orlando, June 2016",Official Statement,2016-06-16 00:00:00,Office of the UN Special Advisers on Genocide Prevention and the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2016/06/2016-Jun-SAStatement-Orlando.pdf
218,"Statement by the UN Special Adviser on the Prevention of Genocide on recent inflammatory rhetoric by President Yahya Jammeh of the Gambia, targeting the Mandinka ethnic group, June 2016",Official Statement,2016-06-07 00:00:00,Office of the UN Special Advisers on Genocide Prevention and the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2019/06/2016-Jun-SAStatement-Gambia.pdf
219,"Statement by Rwanda at the high-level event on ""The Future of Civilian Protection in Peace Operations: Endorsing and Implementing the Kigali Principles""",Government Statement,2016-05-11 00:00:00,Rwanda,https://www.globalr2p.org/wp-content/uploads/2019/08/2016-Statement-Kigali-Principles-Event-Rwanda.pdf
220,"Statement by the UN Special Adviser on the Prevention of Genocide on the situation of civilians in the Syrian Arab Republic, May 2016",Official Statement,2016-05-09 00:00:00,Office of the UN Special Advisers on Genocide Prevention and the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2016/05/2016-may-SAStatement-Syria.pdf
221,"Statement by the UN Special Adviser on the Prevention of Genocide on the conviction of Radovan Karadžić for genocide, war crimes and crimes against humanity, March 2016",Official Statement,2016-03-24 00:00:00,Office of the UN Special Advisers on Genocide Prevention and the Responsibility to Protect,https://www.globalr2p.org/wp-content/uploads/2016/03/2016-Mar-SAStatement-Karadzic.pdf
